institution_name,grad_rate,basic,student_count,spending_per_award,full_time_pct,full_time_count,med_sat_value,aid_value,endow_value,grad_on_time_pct,pell_value,fresh_retain_value,full_time_fac_pct,flagship_binary,EndowXSpend,PellXSat,RetainXSat,AidXSat,AidXEndow
Purdue University-Calumet,0.182,Masters Colleges and Universities--larger programs,8390,44358,0.576,6568,NA,5414,1898,0.09,0.326,0.688,0.553,0,84191484,NA,NA,NA,10275772
Purdue University North Central,0.16,Baccalaureate Colleges--Diverse Fields,6054,52792,0.451,3629,954,5106,973,0.07,0.278,0.61,0.429,0,51366616,265.212,581.94,4871124,4968138
Vincennes University,0.16,Associates--Public 4-year Primarily Associates,18383,37427,0.329,9876,NA,10031,3380,0.25,0.222,0.52,0.162,0,126503260,NA,NA,NA,33904780
Iowa State University,0.201,Research Universities--very high research activity,27659,80398,0.946,25405,1145,6550,20907,0.37,0.226,0.871,0.845,0,1680880986,258.77,997.295,7499750,136940850
University of Northern Iowa,0.227,Masters Colleges and Universities--larger programs,10380,59160,0.899,9694,NA,5304,7364,0.36,0.27,0.83,0.743,0,435654240,NA,NA,NA,39058656
Emporia State University,0.201,Masters Colleges and Universities--larger programs,3873,48368,0.889,3392,1030,5084,13591,0.2,0.391,0.73,0.905,0,657369488,402.73,751.9,5236520,69096644
Fort Hays State University,0.347,Masters Colleges and Universities--larger programs,11433,23196,0.477,7574,990,4411,6213,0.19,0.277,0.654,0.861,0,144116748,274.23,647.46,4366890,27405543
Haskell Indian Nations University,0.238,Tribal Colleges,742,61002,0.972,729,NA,5701,NA,NA,0.699,NA,1,0,NA,NA,NA,NA,NA
Kansas State University,0.199,Research Universities--high research activity,20169,81005,0.898,18225,NA,4978,16992,0.25,0.253,0.812,0.859,0,1376436960,NA,NA,NA,84586176
Pittsburg State University,0.195,Masters Colleges and Universities--larger programs,6236,47644,0.902,6041,1010,4336,10809,0.24,0.403,0.743,0.753,0,514983996,407.03,750.43,4379360,46867824
Washburn University,0.218,Masters Colleges and Universities--medium programs,6179,59088,0.659,4786,NA,5317,27531,0.17,0.374,0.645,0.518,0,1626751728,NA,NA,NA,146382327
Wichita State University,0.202,Research Universities--high research activity,11670,52344,0.755,9961,1089,4668,17845,0.21,0.36,0.745,1,0,934078680,392.04,811.305,5083452,83300460
Eastern Kentucky University,0.204,Masters Colleges and Universities--larger programs,13891,56565,0.79,12093,1009,6183,4256,0.17,0.428,0.715,0.828,0,240740640,431.852,721.435,6238647,26314848
Kentucky State University,0.129,Baccalaureate Colleges--Arts & Sciences,2370,134538,0.765,1971,860,6983,6393,0.07,0.595,0.517,0.804,0,860101434,511.7,444.62,6005380,44642319
University of Louisville,0.197,Research Universities--very high research activity,15954,101486,0.779,13750,1142,8076,41605,0.25,0.3,0.779,0.745,0,4222325030,342.6,889.618,9222792,336001980
Morehead State University,0.2,Masters Colleges and Universities--larger programs,10076,60198,0.616,6632,1028,7119,5148,0.22,0.383,0.692,0.767,0,309899304,393.724,711.376,7318332,36648612
Murray State University,0.198,Masters Colleges and Universities--larger programs,9172,57151,0.78,7711,1029,7305,6788,0.28,0.352,0.73,0.732,0,387940988,362.208,751.17,7516845,49586340
Northern Kentucky University,0.195,Masters Colleges and Universities--larger programs,12794,61829,0.761,10741,1024,6029,6511,0.13,0.337,0.674,0.566,0,402568619,345.088,690.176,6173696,39254819
Western Kentucky University,0.189,Masters Colleges and Universities--larger programs,17509,59899,0.764,15115,1009,6072,945,0.25,0.393,0.718,0.632,0,56604555,396.537,724.462,6126648,5738040
Grambling State University,0.166,Masters Colleges and Universities--medium programs,4155,53151,0.929,4191,863,13767,2220,0.07,0.735,0.689,0.89,0,117995220,634.305,594.607,11880921,30562740
Louisiana State University at Alexandria,0.173,Baccalaureate Colleges--Arts & Sciences,2211,62725,0.569,1696,950,4571,8162,0.07,0.409,0.536,0.625,0,511961450,388.55,509.2,4342450,37308502
Louisiana State University at Shreveport,0.178,Masters Colleges and Universities--medium programs,3674,47041,0.571,2891,1030,6119,5688,0.14,0.3,0.662,0.717,0,267569208,309,681.86,6302570,34804872
Louisiana Tech University,0.169,Research Universities--high research activity,9245,43921,0.712,7530,1089,6745,8196,0.29,0.222,0.786,0.807,0,359976516,241.758,855.954,7345305,55282020
McNeese State University,0.173,Masters Colleges and Universities--larger programs,7575,39156,0.789,6942,1030,5349,2199,0.13,0.364,0.691,0.655,0,86104044,374.92,711.73,5509470,11762451
University of New Orleans,0.202,Research Universities--high research activity,7144,53680,0.753,6594,1072,6242,2521,0.13,0.32,0.675,0.705,0,135327280,343.04,723.6,6691424,15736082
Nicholls State University,0.194,Masters Colleges and Universities--medium programs,5888,42329,0.803,5492,1030,5881,1322,0.18,0.393,0.681,0.855,0,55958938,404.79,701.43,6057430,7774682
University of Louisiana at Monroe,0.189,Masters Colleges and Universities--larger programs,7276,52477,0.673,5873,NA,7196,3373,0.18,0.373,0.672,0.795,0,177004921,NA,NA,NA,24272108
Northwestern State University,0.245,Masters Colleges and Universities--larger programs,7836,38808,0.64,7008,1007,6644,1610,0.18,0.402,0.718,0.692,0,62480880,404.814,723.026,6690508,10696840
Southeastern Louisiana University,0.17,Masters Colleges and Universities--larger programs,13730,44243,0.728,11825,1030,6100,1020,0.13,0.333,0.633,0.781,0,45127860,342.99,651.99,6283000,6222000
Southern University and A&M College,0.146,Masters Colleges and Universities--larger programs,5746,70875,0.819,5113,NA,5537,1437,0.08,0.628,0.674,0.626,0,101847375,NA,NA,NA,7956669
Southern University at New Orleans,0.158,Masters Colleges and Universities--medium programs,1809,53397,0.676,976,808,3269,4688,0.03,0.627,0.523,0.686,0,250325136,506.616,422.584,2641352,15325072
University of Louisiana at Lafayette,0.169,Research Universities--high research activity,15053,47042,0.817,13352,NA,5831,8535,0.13,0.34,0.743,0.805,0,401503470,NA,NA,NA,49767585
University of Maine at Augusta,0.207,Baccalaureate/Associates Colleges,4770,52808,0.362,3204,NA,4876,1997,0.03,0.567,0.529,0.348,0,105457576,NA,NA,NA,9737372
University of Maine at Farmington,0.193,Baccalaureate Colleges--Diverse Fields,1901,74207,0.938,1968,NA,6034,5883,0.37,0.46,0.711,0.672,0,436559781,NA,NA,NA,35498022
University of Maine at Fort Kent,0.203,Baccalaureate Colleges--Diverse Fields,1209,74513,0.491,835,908,5084,3659,0.36,0.322,0.592,0.379,0,272643067,292.376,537.536,4616272,18602356
University of Maine at Machias,0.143,Baccalaureate Colleges--Arts & Sciences,892,120185,0.492,613,937,8021,2765,0.13,0.409,0.659,0.416,0,332311525,383.233,617.483,7515677,22178065
Maine Maritime Academy,0.168,Baccalaureate Colleges--Diverse Fields,994,145380,0.985,991,1026,6405,15340,0.52,0.288,0.754,0.67,0,2230129200,295.488,773.604,6571530,98252700
University of Maine at Presque Isle,0.216,Baccalaureate Colleges--Diverse Fields,1263,75893,0.568,1020,NA,5842,1123,0.15,0.364,0.595,0.479,0,85227839,NA,NA,NA,6560566
University of Southern Maine,0.242,Masters Colleges and Universities--larger programs,7098,60163,0.603,5407,1003,5337,4567,0.09,0.364,0.67,0.472,0,274764421,365.092,672.01,5353011,24374079
University of Baltimore,0.266,Masters Colleges and Universities--larger programs,3526,56061,0.585,2480,NA,4549,8075,0.23,0.426,0.674,0.467,0,452692575,NA,NA,NA,36733175
Bowie State University,0.176,Doctoral/Research Universities,4358,67945,0.808,3848,886,6887,1371,0.12,0.487,0.702,0.499,0,93152595,431.482,621.972,6101882,9442077
Coppin State University,0.146,Masters Colleges and Universities--smaller programs,2920,117464,0.771,2648,880,6077,269,0.04,0.596,0.612,0.474,0,31597816,524.48,538.56,5347760,1634713
Frostburg State University,0.212,Masters Colleges and Universities--larger programs,4703,53942,0.891,4407,963,6343,3542,0.22,0.35,0.768,0.643,0,191062564,337.05,739.584,6108309,22466906
University of Maryland University College,0.294,Masters Colleges and Universities--larger programs,26740,31611,0.221,17160,NA,8364,523,0.01,0.239,0.357,0.082,0,16532553,NA,NA,NA,4374372
University of Maryland-Baltimore County,0.226,Research Universities--high research activity,11136,60634,0.854,9738,1209,7762,6274,0.36,0.27,0.873,0.686,0,380417716,326.43,1055.457,9384258,48698788
University of Maryland-Eastern Shore,0.147,Masters Colleges and Universities--smaller programs,3530,105520,0.898,3658,871,9271,5200,0.13,0.551,0.678,0.597,0,548704000,479.921,590.538,8075041,48209200
Morgan State University,0.14,Doctoral/Research Universities,6252,102886,0.88,6227,893,7073,3328,0.11,0.615,0.721,0.847,0,342404608,549.195,643.853,6316189,23538944
Salisbury University,0.228,Masters Colleges and Universities--larger programs,8004,41275,0.921,7923,1145,4660,5455,0.46,0.221,0.805,0.619,0,225155125,253.045,921.725,5335700,25420300
St. Mary's College of Maryland,0.22,Baccalaureate Colleges--Arts & Sciences,1819,109456,0.969,1922,1221,8605,14712,0.71,0.152,0.9,0.754,0,1610316672,185.592,1098.9,10506705,126596760
Towson University,0.238,Masters Colleges and Universities--larger programs,18779,38386,0.883,17360,1078,7031,2990,0.4,0.25,0.86,0.526,0,114774140,269.5,927.08,7579418,21022690
Bridgewater State College,0.206,Masters Colleges and Universities--larger programs,9615,43917,0.836,8770,991,4805,2933,0.28,0.237,0.814,0.418,0,128808561,234.867,806.674,4761755,14093065
Fitchburg State College,0.212,Masters Colleges and Universities--larger programs,4245,52671,0.81,3622,987,5198,2349,0.2,0.342,0.781,0.549,0,123724179,337.554,770.847,5130426,12210102
Framingham State College,0.177,Masters Colleges and Universities--larger programs,4584,54742,0.847,4331,1040,4262,4663,0.33,0.283,0.731,0.572,0,255261946,294.32,760.24,4432480,19873706
University of Massachusetts at Lowell,0.187,Research Universities--high research activity,12734,67895,0.709,10499,1132,6944,4819,0.28,0.299,0.839,0.553,0,327186005,338.468,949.748,7860608,33463136
University of Massachusetts at Boston,0.211,Research Universities--high research activity,12366,72033,0.708,10329,1015,8028,5242,0.15,0.383,0.775,0.513,0,377596986,388.745,786.625,8148420,42082776
Massachusetts College of Art and Design,0.202,Schools of art- music- and design,2120,93571,0.791,1785,1081,7675,7580,0.48,0.257,0.844,0.291,0,709268180,277.817,912.364,8296675,58176500
Massachusetts Maritime Academy,0.163,Baccalaureate Colleges--Diverse Fields,1376,108800,0.969,1594,1051,5796,6277,0.49,0.186,0.85,0.646,0,682937600,195.486,893.35,6091596,36381492
Massachusetts College of Liberal Arts,0.233,Baccalaureate Colleges--Arts & Sciences,1538,79132,0.88,1493,1032,5872,4700,0.38,0.451,0.786,0.521,0,371920400,465.432,811.152,6059904,27598400
Salem State University,0.209,Masters Colleges and Universities--larger programs,7664,58873,0.761,6870,986,5249,2122,0.22,0.334,0.781,0.455,0,124928506,329.324,770.066,5175514,11138378
University of Massachusetts at Dartmouth,0.186,Masters Colleges and Universities--larger programs,7437,82133,0.857,6783,1061,7372,5411,0.3,0.38,0.761,0.604,0,444421663,403.18,807.421,7821692,39889892
Westfield State University,0.22,Masters Colleges and Universities--medium programs,5692,53878,0.878,5088,995,4767,934,0.43,0.261,0.791,0.463,0,50322052,259.695,787.045,4743165,4452378
Worcester State College,0.189,Masters Colleges and Universities--medium programs,5556,45447,0.741,4686,1016,4441,2073,0.34,0.271,0.803,0.496,0,94211631,275.336,815.848,4512056,9206193
Central Michigan University,0.2,Doctoral/Research Universities,20534,45150,0.871,18746,1029,6148,4019,0.2,0.349,0.767,0.676,0,181457850,359.121,789.243,6326292,24708812
Eastern Michigan University,0.187,Masters Colleges and Universities--larger programs,19189,56231,0.706,15871,1011,5708,3155,0.12,0.447,0.738,0.554,0,177408805,451.917,746.118,5770788,18008740
Ferris State University,0.282,Masters Colleges and Universities--larger programs,13477,49239,0.687,10929,1010,6641,3364,0.23,0.412,0.767,0.611,0,165639996,416.12,774.67,6707410,22340324
Grand Valley State University,0.217,Masters Colleges and Universities--larger programs,21235,52585,0.88,19755,1090,5001,3933,0.33,0.363,0.816,0.659,0,206816805,395.67,889.44,5451090,19668933
Lake Superior State University,0.252,Baccalaureate Colleges--Diverse Fields,2429,50752,0.81,2235,1050,6871,7292,0.16,0.415,0.748,0.644,0,370083584,435.75,785.4,7214550,50103332
Michigan State University,0.232,Research Universities--very high research activity,37985,84771,0.917,35802,1158,8979,45391,0.5,0.239,0.905,0.875,0,3847840461,276.762,1047.99,10397682,407565789
Michigan Technological University,0.204,Research Universities--high research activity,5617,76157,0.925,5171,1206,9648,13615,0.23,0.267,0.822,0.815,0,1036877555,322.002,991.332,11635488,131357520
University of Michigan at Dearborn,0.206,Masters Colleges and Universities--larger programs,7144,63139,0.674,5890,NA,5524,4275,0.14,0.43,0.84,0.57,0,269919225,NA,NA,NA,23615100
University of Michigan at Flint,0.184,Masters Colleges and Universities--larger programs,7143,56291,0.629,5610,993,6891,11913,0.09,0.452,0.799,0.533,0,670594683,448.836,793.407,6842763,82092483
Northern Michigan University,0.197,Masters Colleges and Universities--medium programs,8221,55067,0.894,7912,1030,6086,1682,0.2,0.385,0.722,0.686,0,92622694,396.55,743.66,6268580,10236652
Northwestern Michigan College,0.238,Associates--Public Rural-serving Medium,4724,46516,0.413,3276,NA,3971,3126,NA,0.413,NA,0.318,0,145409016,NA,NA,NA,12413346
Oakland University,0.192,Doctoral/Research Universities,16594,57103,0.738,14268,1070,6383,3707,0.14,0.203,0.781,0.522,0,211680821,217.21,835.67,6829810,23661781
Saginaw Valley State University,0.157,Masters Colleges and Universities--larger programs,9163,55274,0.832,8153,990,5534,6705,0.1,0.408,0.705,0.421,0,370612170,403.92,697.95,5478660,37105470
Wayne State University,0.166,Research Universities--very high research activity,18602,97678,0.657,15500,1050,6725,11158,0.11,0.48,0.769,0.684,0,1089891124,504,807.45,7061250,75037550
Western Michigan University,0.215,Research Universities--high research activity,19198,61374,0.827,17592,1030,6217,12566,0.24,0.397,0.737,0.609,0,771225684,408.91,759.11,6403510,78122822
Bemidji State University,0.217,Masters Colleges and Universities--smaller programs,4727,49591,0.744,4160,990,5246,3542,0.26,0.356,0.672,0.598,0,175651322,352.44,665.28,5193540,18581332
Minnesota State University at Mankato,0.184,Masters Colleges and Universities--larger programs,13467,50405,0.848,12671,1030,4909,2555,0.2,0.291,0.736,0.583,0,128784775,299.73,758.08,5056270,12542495
Metropolitan State University,0.338,Masters Colleges and Universities--medium programs,7647,30938,0.373,5620,NA,3703,390,0.09,0.416,0.612,0.213,0,12065820,NA,NA,NA,1444170
University of Minnesota at Crookston,0.173,Baccalaureate Colleges--Diverse Fields,2839,56410,0.46,1934,1004,7681,7068,0.33,0.239,0.691,0.787,0,398705880,239.956,693.764,7711724,54289308
University of Minnesota at Duluth,0.199,Masters Colleges and Universities--medium programs,10079,54475,0.892,9848,1109,6470,11757,0.29,0.243,0.751,0.77,0,640462575,269.487,832.859,7175230,76067790
University of Minnesota at Morris,0.176,Baccalaureate Colleges--Arts & Sciences,1946,90040,0.933,1852,1168,8249,6067,0.5,0.293,0.871,0.78,0,546272680,342.224,1017.328,9634832,50046683
Minnesota State University Moorhead,0.218,Masters Colleges and Universities--medium programs,6163,52373,0.829,5740,1049,4375,1655,0.21,0.331,0.677,0.616,0,86677315,347.219,710.173,4589375,7240625
St. Cloud State University,0.208,Masters Colleges and Universities--larger programs,15134,47719,0.652,11667,1010,4842,1366,0.19,0.307,0.707,0.631,0,65184154,310.07,714.07,4890420,6614172
Southwest Minnesota State University,0.14,Masters Colleges and Universities--medium programs,6467,59146,0.328,3418,NA,4838,776,0.21,0.159,0.674,0.489,0,45897296,NA,NA,NA,3754288
Winona State University,0.204,Masters Colleges and Universities--medium programs,8253,50838,0.891,8088,NA,4626,2081,0.29,0.269,0.783,0.62,0,105793878,NA,NA,NA,9626706
Alcorn State University,0.127,Masters Colleges and Universities--medium programs,3157,103722,0.865,2990,851,7507,3387,0.18,0.792,0.684,0.77,0,351306414,673.992,582.084,6388457,25426209
Delta State University,0.219,Masters Colleges and Universities--larger programs,2638,58848,0.821,2276,950,5689,6083,0.16,0.493,0.661,0.638,0,357972384,468.35,627.95,5404550,34606187
Jackson State University,0.165,Research Universities--high research activity,6903,83508,0.842,6193,910,6853,2037,0.16,0.648,0.755,0.723,0,170105796,589.68,687.05,6236230,13959561
Mississippi University for Women,0.261,Masters Colleges and Universities--smaller programs,2429,40775,0.801,2409,995,5350,1444,0.21,0.493,0.791,0.628,0,58879100,490.535,787.045,5323250,7725400
Mississippi Valley State University,0.164,Masters Colleges and Universities--medium programs,1926,77568,0.831,2032,825,7058,838,0.1,0.69,0.53,0.851,0,65001984,569.25,437.25,5822850,5914604
Mississippi State University,0.192,Research Universities--very high research activity,16399,56146,0.918,15593,1106,6487,20934,0.3,0.341,0.785,0.864,0,1175360364,377.146,868.21,7174622,135798858
University of Southern Mississippi,0.209,Research Universities--high research activity,12475,51149,0.869,12055,1082,5435,5069,0.2,0.464,0.716,0.755,0,259274281,502.048,774.712,5880670,27550015
University of Central Missouri,0.215,Masters Colleges and Universities--larger programs,9974,47923,0.831,8560,990,5339,3423,0.3,0.381,0.688,0.84,0,164040429,377.19,681.12,5285610,18275397
Harris-Stowe State University,0.123,Baccalaureate Colleges--Diverse Fields,1298,107699,0.758,1155,NA,4687,969,0.02,0.755,0.431,0.275,0,104360331,NA,NA,NA,4541703
Lincoln University (Mo.),0.161,Masters Colleges and Universities--smaller programs,2892,68841,0.648,2235,NA,4839,2946,0.06,0.541,0.527,0.647,0,202805586,NA,NA,NA,14255694
Missouri Southern State University,0.229,Baccalaureate Colleges--Diverse Fields,5587,45146,0.738,4423,990,4578,7231,0.15,0.607,0.661,0.635,0,326450726,600.93,654.39,4532220,33103518
Missouri Western State University,0.162,Baccalaureate Colleges--Diverse Fields,5616,63770,0.702,4452,NA,5783,5765,0.13,0.425,0.604,0.501,0,367634050,NA,NA,NA,33338995
University of Missouri at Kansas City,0.208,Research Universities--high research activity,10227,81361,0.666,8292,NA,6162,16139,0.2,0.321,0.733,0.62,0,1313085179,NA,NA,NA,99448518
Missouri University of Science and Technology,0.207,Research Universities--high research activity,6145,54819,0.89,5273,1263,7379,23753,0.25,0.259,0.826,0.774,0,1302115707,327.117,1043.238,9319677,175273387
University of Missouri at St. Louis,0.241,Research Universities--high research activity,13569,48640,0.445,8375,NA,6556,5875,0.2,0.304,0.75,0.531,0,285760000,NA,NA,NA,38516500
Truman State University,0.224,Masters Colleges and Universities--medium programs,5898,52652,0.911,5156,1243,6719,5971,0.53,0.19,0.874,0.862,0,314385092,236.17,1086.382,8351717,40119149
Northwest Missouri State University,0.192,Masters Colleges and Universities--larger programs,5542,51680,0.9,5393,1050,5990,4359,0.26,0.356,0.658,0.832,0,225273120,373.8,690.9,6289500,26110410
Southeast Missouri State University,0.179,Masters Colleges and Universities--larger programs,10605,52712,0.75,8943,1049,5017,6578,0.26,0.356,0.726,1,0,346739536,373.444,761.574,5262833,33001826
Missouri State University,0.213,Masters Colleges and Universities--larger programs,18027,42147,0.766,14239,1090,5159,4100,0.3,0.32,0.752,0.642,0,172802700,348.8,819.68,5623310,21151900
Montana State University at Billings,0.196,Masters Colleges and Universities--medium programs,4465,49990,0.708,4001,NA,4385,4257,0.12,0.392,0.592,0.482,0,212807430,NA,NA,NA,18666945
Montana Tech of the University of Montana,0.179,Baccalaureate Colleges--Diverse Fields,1844,83079,0.901,1769,1115,6362,12290,0.19,0.36,0.688,0.708,0,1021040910,401.4,767.12,7093630,78188980
Montana State University at Bozeman,0.167,Research Universities--very high research activity,13174,68493,0.836,11903,1115,4601,8171,0.2,0.316,0.758,0.633,0,559656303,352.34,845.17,5130115,37594771
Montana State University-Northern,0.239,Baccalaureate Colleges--Diverse Fields,1250,63484,0.734,1087,925,4006,3270,0.14,0.491,0.592,0.67,0,207592680,454.175,547.6,3705550,13099620
University of Montana-Western,0.168,Baccalaureate Colleges--Diverse Fields,1455,61415,0.822,1388,NA,4783,2635,0.26,0.423,0.688,0.806,0,161828525,NA,NA,NA,12603205
Chadron State College,0.175,Baccalaureate Colleges--Diverse Fields,2432,55713,0.729,1984,NA,5296,7436,0.16,0.334,0.673,0.591,0,414281868,NA,NA,NA,39381056
University of Nebraska at Kearney,0.16,Masters Colleges and Universities--larger programs,5502,52623,0.868,5221,1049,6682,11,0.21,0.344,0.755,0.722,0,578853,360.856,791.995,7009418,73502
University of Nebraska at Omaha,0.2,Doctoral/Research Universities,12335,46423,0.771,10613,1070,6756,377,0.14,0.325,0.748,0.498,0,17501471,347.75,800.36,7228920,2547012
Peru State College,0.209,Masters Colleges and Universities--larger programs,2158,41272,0.55,1495,NA,4201,4472,0.19,0.33,0.582,0.495,0,184568384,NA,NA,NA,18786872
Wayne State College,0.188,Masters Colleges and Universities--larger programs,2991,54301,0.914,2766,NA,4821,4753,0.24,0.397,0.619,0.618,0,258092653,NA,NA,NA,22914213
College of Southern Nevada,0.112,Associates--Public 4-year Primarily Associates,34177,56984,0.26,18996,NA,2872,283,NA,0.299,NA,0.371,0,16126472,NA,NA,NA,812776
University of Nevada at Las Vegas,0.201,Research Universities--high research activity,23097,67182,0.715,18169,1003,4522,7827,0.14,0.335,0.773,0.597,0,525833514,336.005,775.319,4535566,35393694
Great Basin College,0.222,Baccalaureate/Associates Colleges,3164,47407,0.286,1754,NA,4677,126,0.27,0.271,0.789,0.321,0,5973282,NA,NA,NA,589302
Western Nevada College,0.191,Associates--Public 4-year Primarily Associates,3975,37877,0.309,2338,NA,3403,99,NA,0.411,NA,0.2,0,3749823,NA,NA,NA,336897
Keene State College,0.228,Masters Colleges and Universities--smaller programs,4799,62502,0.946,5010,975,6266,4033,0.51,0.239,0.764,0.498,0,252070566,233.025,744.9,6109350,25270778
University of New Hampshire at Manchester,0.252,Baccalaureate Colleges--Arts & Sciences,833,59771,0.719,760,NA,10936,1799,0.29,0.247,0.667,0.275,0,107528029,NA,NA,NA,19673864
Plymouth State University,0.211,Masters Colleges and Universities--larger programs,4065,50137,0.934,4031,965,7823,2123,0.41,0.27,0.716,0.399,0,106440851,260.55,690.94,7549195,16608229
Granite State College,0.283,Baccalaureate Colleges--Arts & Sciences,1723,27453,0.533,1531,NA,3683,1215,0.09,0.494,0.6,0.032,0,33355395,NA,NA,NA,4474845
Rowan University,0.243,Masters Colleges and Universities--larger programs,10951,86923,0.854,9639,1120,5840,10331,0.45,0.301,0.841,0.395,0,898001513,337.12,941.92,6540800,60333040
New Jersey City University,0.204,Masters Colleges and Universities--larger programs,6437,78530,0.742,5702,916,7258,973,0.04,0.561,0.695,0.316,0,76409690,513.876,636.62,6648328,7062034
Kean University,0.226,Masters Colleges and Universities--larger programs,12078,58640,0.766,11076,905,6286,1059,0.18,0.409,0.736,0.26,0,62099760,370.145,666.08,5688830,6656874
Montclair State University,0.226,Masters Colleges and Universities--larger programs,15431,54667,0.866,13857,970,6094,2233,0.34,0.373,0.856,0.346,0,122071411,361.81,830.32,5911180,13607902
New Jersey Institute of Technology,0.149,Research Universities--high research activity,7317,82636,0.78,8038,1142,11615,7963,0.23,0.39,0.86,0.652,0,658030468,445.38,982.12,13264330,92490245
Ramapo College of New Jersey,0.231,Masters Colleges and Universities--medium programs,5614,65877,0.889,5753,1096,9017,2215,0.58,0.25,0.867,0.485,0,145917555,274,950.232,9882632,19972655
Rutgers University at Camden,0.237,Masters Colleges and Universities--medium programs,4842,0,0.814,4322,1035,8464,12564,0.26,0.433,0.773,0.501,0,0,448.155,800.055,8760240,106341696
Rutgers University at Newark,0.217,Research Universities--high research activity,7217,0,0.807,7292,1059,9830,13352,0.32,0.464,0.742,0.583,0,0,491.376,785.778,10409970,131250160
Richard Stockton College of New Jersey,0.249,Masters Colleges and Universities--medium programs,7539,57039,0.922,7880,1068,7950,2730,0.42,0.356,0.868,0.48,0,155716470,380.208,927.024,8490600,21703500
College of New Jersey,0.213,Masters Colleges and Universities--larger programs,6653,71895,0.97,7020,1235,8127,3480,0.72,0.18,0.935,0.423,0,250194600,222.3,1154.725,10036845,28281960
William Paterson University,0.201,Masters Colleges and Universities--larger programs,10027,76275,0.825,9370,1010,7335,690,0.16,0.396,0.748,0.328,0,52629750,399.96,755.48,7408350,5061150
Navajo Technical College,0.178,Tribal Colleges,1956,103829,0.65,1364,NA,5293,299,NA,0.657,0.444,0.384,0,31044871,NA,NA,NA,1582607
Eastern New Mexico University,0.173,Masters Colleges and Universities--smaller programs,4567,54807,0.604,3694,932,5394,4320,0.12,0.41,0.581,0.51,0,236766240,382.12,541.492,5027208,23302080
Institute of American Indian and Alaska Native Culture and Arts Development,0.143,Tribal Colleges,392,269880,0.416,251,NA,8335,19406,0,0.394,0.692,0.339,0,5237291280,NA,NA,NA,161749010
New Mexico Highlands University,0.202,Masters Colleges and Universities--larger programs,2396,41006,0.687,1934,NA,5181,962,0.08,0.565,0.472,0.521,0,39447772,NA,NA,NA,4984122
New Mexico Institute of Mining and Technology,0.154,Masters Colleges and Universities--medium programs,1604,90507,0.884,1439,1200,6834,16052,0.18,0.295,0.766,0.618,0,1452818364,354,919.2,8200800,109699368
New Mexico State University at Las Cruces,0.2,Research Universities--high research activity,13582,53415,0.832,12364,982,8284,6784,0.15,0.434,0.74,0.746,0,362367360,426.188,726.68,8134888,56198656
Northern New Mexico College,0.146,Baccalaureate/Associates Colleges,1653,103887,0.497,1208,NA,4992,2436,0,0.577,0.512,0.471,0,253068732,NA,NA,NA,12160512
Western New Mexico University,0.168,Masters Colleges and Universities--medium programs,2849,54044,0.53,2002,NA,2895,5247,0.12,0.467,0.548,0.435,0,283568868,NA,NA,NA,15190065
City University of New York Bernard M. Baruch College,0.225,Masters Colleges and Universities--larger programs,14082,50360,0.738,12741,1225,6607,9000,0.39,0.45,0.876,0.462,0,453240000,551.25,1073.1,8093575,59463000
City University of New York Brooklyn College,0.217,Masters Colleges and Universities--larger programs,13596,63002,0.702,11157,1100,6313,5346,0.24,0.482,0.864,0.451,0,336808692,530.2,950.4,6944300,33749298
City University of New York College of Staten Island,0.176,Masters Colleges and Universities--larger programs,13465,75038,0.727,11120,1000,6180,433,0.27,0.446,0.829,0.345,0,32491454,446,829,6180000,2675940
City College of City University of New York,0.188,Masters Colleges and Universities--larger programs,12501,97581,0.742,10578,1110,6643,17183,0.09,0.507,0.875,0.403,0,1676734323,562.77,971.25,7373730,114146669
Hunter College of the City University of New York,0.203,Masters Colleges and Universities--larger programs,16689,54842,0.704,13860,1160,6270,4005,0.21,0.41,0.867,0.369,0,219642210,475.6,1005.72,7273200,25111350
City University of New York John Jay College of Criminal Justice,0.226,Masters Colleges and Universities--larger programs,13217,74655,0.785,10903,950,6593,483,0.25,0.545,0.779,0.384,0,36058365,517.75,740.05,6263350,3184419
Herbert H. Lehman College of City University of New York,0.219,Masters Colleges and Universities--larger programs,9886,65181,0.571,7273,1020,6106,821,0.14,0.523,0.815,0.477,0,53513601,533.46,831.3,6228120,5013026
City University of New York Medgar Evers College,0.183,Baccalaureate/Associates Colleges,6477,107029,0.659,5096,838,5945,81,0.05,0.616,0.647,0.667,0,8669349,516.208,542.186,4981910,481545
New York City College of Technology/City University of New York,0.162,Baccalaureate/Associates Colleges,16860,80936,0.612,12303,936,6014,1018,0.03,0.584,0.766,0.394,0,82392848,546.624,716.976,5629104,6122252
City University of New York Queens College,0.224,Masters Colleges and Universities--larger programs,15351,51213,0.702,13533,1100,6183,2768,0.25,0.381,0.844,0.404,0,141757584,419.1,928.4,6801300,17114544
City University of New York York College,0.161,Baccalaureate Colleges--Diverse Fields,8261,96263,0.624,6274,905,6359,110,0.05,0.54,0.741,0.363,0,10588930,488.7,670.605,5754895,699490
Fashion Institute of Technology,0.375,Masters Colleges and Universities--smaller programs,9566,52850,0.759,8896,NA,5115,3499,NA,0.238,0.884,0.254,0,184922150,NA,NA,NA,17897385
